Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,170.0,300.0,440.0,9.999999999999998e-21,1.0,0.4999997519160774,2.481093114256099e-07,4.983599846335849e-18,0.4999999999746112
0.0,171.0,300.0,442.0,9.999999999999998e-21,1.0,0.4999999675160186,3.251826354608207e-08,0.0,0.4999999999746113
0.0,172.0,300.0,444.0,9.999999999999998e-21,1.0,0.4999999968275611,3.202274475517088e-09,4.261517152837127e-18,0.4999999999701647
0.0,173.0,300.0,446.0,9.999999999999998e-21,1.0,0.49999999982302845,2.2845039311380548e-10,0.0,0.4999999999701646
0.0,174.0,300.0,448.0,9.999999999999998e-21,1.0,0.5000000000292548,1.1402146234101127e-11,3.654403415563816e-18,0.49999999995934297
0.0,175.0,300.0,450.0,9.999999999999998e-21,1.0,0.5000000000402848,5.215410041622153e-13,0.0,0.499999999959343
0.0,176.0,300.0,452.0,9.999999999999998e-21,1.0,0.5000000000405974,1.3447301791968584e-13,3.1424419716274268e-18,0.4999999999592684
0.0,177.0,300.0,454.0,9.999999999999998e-21,1.0,0.5000000000407774,1.1426037780960003e-13,0.0,0.4999999999592683
0.0,178.0,300.0,456.0,9.999999999999998e-21,1.0,0.5000000000407092,1.0253906306754542e-13,2.709473380866852e-18,0.4999999999591885
0.0,179.0,300.0,458.0,9.999999999999998e-21,1.0,0.5000000000408779,9.017290516409128e-14,0.0,0.4999999999591884
0.0,180.0,300.0,460.0,9.999999999999998e-21,1.0,0.5000000000408091,8.051941130517194e-14,2.342279771362837e-18,0.4999999999591103
0.0,181.0,300.0,462.0,9.999999999999998e-21,1.0,0.5000000000409709,7.1571188786308e-14,0.0,0.4999999999591104
0.0,182.0,300.0,464.0,9.999999999999998e-21,1.0,0.5000000000409013,6.47366084052256e-14,2.0300155987439518e-18,0.4999999999590341
0.0,183.0,300.0,466.0,9.999999999999998e-21,1.0,0.5000000000410587,5.697103264573547e-14,0.0,0.49999999995903416
0.0,184.0,300.0,468.0,9.999999999999998e-21,1.0,0.5000000000409894,5.1429833552392553e-14,1.7637547413874203e-18,0.49999999995895916
0.0,185.0,300.0,470.0,9.999999999999998e-21,1.0,0.5000000000411418,4.549818156616427e-14,0.0,0.49999999995895916
0.0,186.0,300.0,472.0,9.999999999999998e-21,1.0,0.5000000000410729,4.1060201163976824e-14,1.5361289619625265e-18,0.49999999995888594
0.0,187.0,300.0,474.0,9.999999999999998e-21,1.0,0.5000000000412206,3.672590175847706e-14,0.0,0.49999999995888594
0.0,188.0,300.0,476.0,9.999999999999998e-21,1.0,0.5000000000411529,3.2890880554566855e-14,1.3410383723658902e-18,0.49999999995881433
0.0,189.0,300.0,478.0,9.999999999999998e-21,1.0,0.5000000000412967,2.9475983494107996e-14,0.0,0.4999999999588144
0.0,190.0,300.0,480.0,9.999999999999998e-21,1.0,0.5000000000412295,2.6450959423294448e-14,1.173418813146266e-18,0.49999999995874406
